ArcID,SeasonID,WaterLevel__m,RateOfFlow__m3_s,WaterSpeed__m_s,WaterDepth__m,Width,geometry,nrow_depth,nrow_width,mapping_to_grid
5357,1,0.619,130.477,0.372,2.421,49.387,"LINESTRING (203953 478909, 203722 483872)",511.000,511.000,"LINESTRING (203838 481390, 203757 479359)"
8936,1,0.385,130.481,0.341,2.468,49.749,"LINESTRING (203722 483872, 205309 488905)",572.000,572.000,"LINESTRING (204516 486388, 203061 485929)"
8937,1,0.163,130.489,0.298,2.856,50.000,"LINESTRING (205309 488905, 205236 489601)",614.000,609.000,"LINESTRING (205272 489253, 204992 488243)"
4567,1,-0.004,130.494,0.289,2.493,59.946,"LINESTRING (205236 489601, 201466 499606)",634.000,634.000,"LINESTRING (203351 494604, 205592 490469)"
3936,1,-0.138,130.499,0.288,2.811,60.000,"LINESTRING (201466 499606, 200823 500512)",724.000,703.000,"LINESTRING (201144 500059, 201671 499465)"
3924,1,-0.150,130.499,0.284,2.897,60.000,"LINESTRING (200823 500512, 200820 500521)",736.000,734.000,"LINESTRING (200822 500516, 200799 500565)"
3923,1,-0.150,130.500,0.292,2.967,60.000,"LINESTRING (200820 500521, 200533 501245)",739.000,738.000,"LINESTRING (200676 500883, 200685 500906)"
3899,1,-0.163,130.500,0.278,3.176,60.000,"LINESTRING (200533 501245, 200528 501254)",742.000,741.000,"LINESTRING (200530 501250, 200532 501231)"
3898,1,-0.173,130.500,0.278,3.486,60.000,"LINESTRING (200528 501254, 200385 501458)",744.000,743.000,"LINESTRING (200456 501356, 200403 501430)"
3884,1,-0.173,130.500,0.278,3.651,60.000,"LINESTRING (200385 501458, 200287 501552)",745.000,745.000,"LINESTRING (200336 501505, 200334 501529)"
3879,1,-0.173,130.500,0.251,3.479,60.000,"LINESTRING (200287 501552, 200280 501558)",746.000,746.000,"LINESTRING (200284 501555, 200244 501610)"
3878,1,-0.180,130.500,0.251,2.861,60.000,"LINESTRING (200280 501558, 199747 502000)",760.000,747.000,"LINESTRING (200014 501779, 198827 502489)"
3855,1,-0.279,129.503,0.238,2.957,60.000,"LINESTRING (199747 502000, 192013 506222)",788.000,769.000,"LINESTRING (195880 504111, 197729 505066)"
4224,1,-0.323,129.505,0.189,3.528,60.000,"LINESTRING (192013 506222, 192006 506229)",846.000,836.000,"LINESTRING (192010 506226, 193044 505705)"
8894,1,-0.323,129.505,0.169,4.165,60.000,"LINESTRING (192006 506229, 191702 506806)",858.000,858.000,"LINESTRING (191854 506518, 191832 506396)"
8895,1,-0.327,129.505,0.161,5.072,60.000,"LINESTRING (191702 506806, 191580 507255)",864.000,862.000,"LINESTRING (191641 507030, 191631 507084)"
4216,1,-0.328,129.505,0.138,5.329,60.000,"LINESTRING (191580 507255, 191067 508138)",867.000,867.000,"LINESTRING (191324 507696, 191524 507426)"
4205,1,-0.328,129.505,0.131,5.772,60.000,"LINESTRING (191067 508138, 191061 508146)",874.000,872.000,"LINESTRING (191064 508142, 191047 508115)"
4204,1,-0.328,129.505,0.131,6.158,60.000,"LINESTRING (191061 508146, 190842 508439)",877.000,875.000,"LINESTRING (190952 508292, 190837 508410)"
4201,1,-0.330,129.505,0.127,6.295,60.000,"LINESTRING (190842 508439, 189137 509541)",884.000,881.000,"LINESTRING (189990 508990, 190214 508958)"
4186,1,-0.331,129.505,0.115,6.735,60.000,"LINESTRING (189137 509541, 188570 510001)",893.000,892.000,"LINESTRING (188854 509771, 189257 509451)"
4177,1,-0.332,129.505,0.113,7.047,60.000,"LINESTRING (188570 510001, 187058 510707)",907.000,903.000,"LINESTRING (187814 510354, 187924 510471)"
4154,1,-0.333,129.506,0.110,4.861,60.000,"LINESTRING (187058 510707, 187048 510706)",916.000,911.000,"LINESTRING (187053 510706, 186891 510682)"
4162,1,-0.333,129.506,0.148,4.625,60.000,"LINESTRING (187048 510706, 185908 510586)",925.000,918.000,"LINESTRING (186478 510646, 185880 510570)"
6325,1,4.763,0.000,0.000,3.263,,"LINESTRING (184942 429398, 185075 429672)",,,
1705,1,2.081,0.000,0.000,4.481,,"LINESTRING (159510 434979, 159632 434654)",,,
7378,1,1.141,0.000,0.000,4.141,,"LINESTRING (153020 423201, 152914 423317)",,,
5771,1,1.993,0.000,0.000,1.993,,"LINESTRING (212724 463846, 213082 463935)",,,
5531,1,1.084,0.000,0.000,2.684,,"LINESTRING (208331 473281, 208473 473252)",,,
2385,1,-0.180,0.000,0.000,4.320,,"LINESTRING (200213 502548, 200315 502677)",,,
